"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1001",0.0
0,"1010",0.0
0,"1011",0.0
0,"1100",0.0
0,"1101",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",8.999999936158707
10,"0001",1.3979400086720377
10,"0010",1.9777236052888478
10,"0011",0.0
10,"0100",0.8450980400142568
10,"0101",0.0
10,"0110",0.0
10,"0111",0.0
10,"1000",1.3010299956639813
10,"1001",0.0
10,"1010",0.0
10,"1011",0.0
10,"1100",0.0
10,"1101",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",8.999999338569001
20,"0001",1.724275869600789
20,"0010",3.1556396337597765
20,"0011",0.0
20,"0100",0.9030899869919435
20,"0101",0.0
20,"0110",0.0
20,"0111",0.0
20,"1000",1.4913616938342726
20,"1001",0.0
20,"1010",0.0
20,"1011",0.0
20,"1100",0.0
20,"1101",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",8.999991178520892
30,"0001",1.9242792860618816
30,"0010",4.304899640332865
30,"0011",0.0
30,"0100",1.0
30,"0101",0.0
30,"0110",0.0
30,"0111",0.0
30,"1000",1.591064607026499
30,"1001",0.0
30,"1010",0.0
30,"1011",0.0
30,"1100",0.0
30,"1101",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",8.99987709116859
40,"0001",2.060697840353612
40,"0010",5.451484012184745
40,"0011",0.0
40,"0100",0.8450980400142568
40,"0101",0.0
40,"0110",0.0
40,"0111",0.0
40,"1000",1.6334684555795864
40,"1001",0.0
40,"1010",0.0
40,"1011",0.0
40,"1100",0.0
40,"1101",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",8.998281690933123
50,"0001",2.167317334748176
50,"0010",6.596436321939027
50,"0011",0.0
50,"0100",0.9030899869919435
50,"0101",0.0
50,"0110",0.0
50,"0111",0.0
50,"1000",1.6232492903979006
50,"1001",0.0
50,"1010",0.0
50,"1011",0.0
50,"1100",0.0
50,"1101",0.0
50,"1110",0.0
50,"1111",0.0
60,"0000",8.976520625038953
