"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0110",0.0
0,"1000",0.0
0,"1010",0.0
10,"0000",8.999999919655513
10,"0001",1.4771212547196624
10,"0010",2.100370545117563
10,"0011",0.0
10,"0100",0.9030899869919435
10,"0110",0.0
10,"1000",1.3010299956639813
10,"1010",0.0
20,"0000",8.999999135753121
20,"0001",1.7558748556724915
20,"0010",3.277150613963797
20,"0011",0.0
20,"0100",1.0
20,"0110",0.0
20,"1000",1.4913616938342726
20,"1010",0.0
30,"0000",8.999988378992775
30,"0001",1.8976270912904414
30,"0010",4.425403782148611
30,"0011",0.0
30,"0100",1.0
30,"0110",0.0
30,"1000",1.5797835966168101
30,"1010",0.0
40,"0000",8.999837835871947
40,"0001",2.0211892990699383
40,"0010",5.571911377706082
40,"0011",0.0
40,"0100",0.9030899869919435
40,"0110",0.0
40,"1000",1.6127838567197355
40,"1010",0.0
50,"0000",8.997733861384697
50,"0001",2.1398790864012365
50,"0010",6.716353644560477
50,"0011",0.0
50,"0100",0.9542425094393249
50,"0110",0.0
50,"1000",1.6434526764861874
50,"1010",0.0
60,"0000",8.969275104492771
60,"0001",2.2121876044039577
60,"0010",7.8344328484964985
60,"0011",0.0
60,"0100",0.9030899869919435
60,"0110",0.0
60,"1000",1.6434526764861874
60,"1010",0.0
70,"0000",8.693082975648766
70,"0001",2.0086001717619175
70,"0010",8.704778175619369
70,"0011",0.6989700043360189
70,"0100",0.6020599913279624
70,"0110",0.3010299956639812
70,"1000",1.3617278360175928
70,"1010",0.9030899869919435
80,"0000",7.8126007525806775
80,"0001",1.2041199826559248
80,"0010",8.970833312977728
80,"0011",1.0
80,"0100",0.0
80,"0110",0.6020599913279624
80,"1000",0.47712125471966244
80,"1010",1.0791812460476249
90,"0000",6.6930834704575535
90,"0001",0.0
90,"0010",8.997852450280963
90,"0011",0.9030899869919435
90,"0100",0.0
90,"0110",0.6020599913279624
90,"1000",0.0
90,"1010",1.0791812460476249
100,"0000",5.548552785326287
100,"0001",0.0
100,"0010",8.999846380681795
100,"0011",1.0
100,"0100",0.0
