"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1010",0.0
0,"1100",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",8.999356295279577
10,"0001",1.3010299956639813
10,"0010",6.164266285722385
10,"0011",0.0
10,"0100",2.546542663478131
10,"0110",0.0
10,"0111",0.0
10,"1000",4.322343361148676
10,"1010",0.0
10,"1100",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",5.771957685856686
20,"0001",0.0
20,"0010",8.999616501572168
20,"0011",0.8450980400142568
20,"0100",1.4313637641589874
20,"0110",1.380211241711606
20,"0111",0.0
20,"1000",5.463997445885867
20,"1010",1.2304489213782739
20,"1100",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",0.6020599913279624
30,"0001",0.0
30,"0010",8.999997369904653
30,"0011",0.6989700043360189
30,"0100",0.0
30,"0110",1.9822712330395684
30,"0111",0.0
30,"1000",3.7706311277778064
30,"1010",1.7403626894942439
30,"1100",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",0.47712125471966244
40,"0001",0.0
40,"0010",8.99999978068123
40,"0011",0.6989700043360189
40,"0100",0.0
40,"0110",2.436162647040756
40,"0111",0.0
40,"1000",2.0755469613925306
40,"1010",2.0211892990699383
40,"1100",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",0.3010299956639812
50,"0001",0.0
50,"0010",8.999999605226137
50,"0011",0.6989700043360189
50,"0100",0.0
50,"0110",2.858537197569639
50,"0111",0.0
50,"1000",0.3010299956639812
50,"1010",2.250420002308894
50,"1100",0.0
50,"1110",0.0
50,"1111",0.0
60,"0000",0.6020599913279624
60,"0001",0.0
60,"0010",8.999999077991836
60,"0011",0.7781512503836436
60,"0100",0.0
60,"0110",3.2631624649622166
60,"0111",0.0
60,"1000",0.0
60,"1010",2.4456042032735974
60,"1100",0.0
60,"1110",0.0
60,"1111",0.0
70,"0000",0.47712125471966244
70,"0001",0.0
70,"0010",8.999997822442008
70,"0011",0.9030899869919435
70,"0100",0.0
70,"0110",3.6617180576946593
