"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1001",0.0
0,"1010",0.0
0,"1011",0.0
0,"1100",0.0
0,"1101",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",8.987607107933714
10,"0001",1.2304489213782739
10,"0010",7.402416651522271
10,"0011",0.0
10,"0100",6.458383240075734
10,"0101",0.0
10,"0110",0.0
10,"0111",0.0
10,"1000",1.4771212547196624
10,"1001",0.0
10,"1010",0.0
10,"1011",0.0
10,"1100",0.0
10,"1101",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",2.8709888137605755
20,"0001",0.0
20,"0010",8.997093829618805
20,"0011",2.357934847000454
20,"0100",6.824007119215816
20,"0101",0.0
20,"0110",2.2624510897304293
20,"0111",0.0
20,"1000",0.0
20,"1001",0.0
20,"1010",1.5185139398778875
20,"1011",0.0
20,"1100",0.0
20,"1101",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",0.47712125471966244
30,"0001",0.0
30,"0010",8.99981873021936
30,"0011",4.159206133646325
30,"0100",5.597678735065384
30,"0101",0.0
30,"0110",3.833529581758644
30,"0111",0.0
30,"1000",0.0
30,"1001",0.0
30,"1010",1.8573324964312685
30,"1011",0.0
30,"1100",0.0
30,"1101",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",0.47712125471966244
40,"0001",0.0
40,"0010",8.999496632529059
40,"0011",5.948345957969847
40,"0100",4.368286884902131
40,"0101",0.0
40,"0110",5.392744424151026
40,"0111",0.0
40,"1000",0.0
40,"1001",0.0
40,"1010",2.1172712956557644
40,"1011",0.0
40,"1100",0.0
40,"1101",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",0.3010299956639812
50,"0001",0.0
50,"0010",8.973187870335988
50,"0011",7.7113325092849365
50,"0100",3.11293997608408
50,"0101",0.0
50,"0110",6.9255625380729935
50,"0111",0.0
50,"1000",0.0
50,"1001",0.0
50,"1010",2.290034611362518
50,"1011",0.0
50,"1100",0.0
50,"1101",0.0
50,"1110",0.0
50,"1111",0.0
