"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1010",0.0
0,"1011",0.0
0,"1100",0.0
0,"1110",0.0
10,"0000",8.981352732110139
10,"0001",0.9542425094393249
10,"0010",7.577750403787357
10,"0011",0.0
10,"0100",6.623831578296943
10,"0101",0.0
10,"0110",0.0
10,"0111",0.0
10,"1000",1.3979400086720377
10,"1010",0.0
10,"1011",0.0
10,"1100",0.0
10,"1110",0.0
20,"0000",2.690196080028514
20,"0001",0.0
20,"0010",8.99715917934931
20,"0011",1.9867717342662448
20,"0100",6.814187043399754
20,"0101",0.0
20,"0110",2.1522883443830563
20,"0111",0.0
20,"1000",0.0
20,"1010",1.806179973983887
20,"1011",0.0
20,"1100",0.0
20,"1110",0.0
30,"0000",0.47712125471966244
30,"0001",0.0
30,"0010",8.999826750568376
30,"0011",3.7952541825808828
30,"0100",5.587800732378037
30,"0101",0.0
30,"0110",3.732232880220498
30,"0111",0.0
30,"1000",0.0
30,"1010",2.0791812460476247
30,"1011",0.0
30,"1100",0.0
30,"1110",0.0
40,"0000",0.47712125471966244
40,"0001",0.0
40,"0010",8.999737963653342
40,"0011",5.5847585227217325
40,"0100",4.358658068619549
40,"0101",0.0
40,"0110",5.291728393330486
40,"0111",0.0
40,"1000",0.0
40,"1010",2.292256071356476
40,"1011",0.0
40,"1100",0.0
40,"1110",0.0
50,"0000",0.47712125471966244
50,"0001",0.0
50,"0010",8.986835715009855
50,"0011",7.361154718015661
50,"0100",3.1166077439882485
50,"0101",0.0
50,"0110",6.837955476552467
50,"0111",0.0
50,"1000",0.0
50,"1010",2.4638929889859074
50,"1011",0.0
50,"1100",0.0
50,"1110",0.0
60,"0000",0.0
60,"0001",0.3010299956639812
60,"0010",8.566279225779661
60,"0011",8.729891571817445
60,"0100",1.4771212547196624
60,"0101",0.0
60,"0110",7.976516428182323
60,"0111",1.462397997898956
60,"1000",0.0
60,"1010",2.2174839442139063
60,"1011",0.0
60,"1100",0.0
60,"1110",0.0
70,"0000",0.0
