"Generation","Identity","Population"
0,"0000",9.0
0,"0001",0.0
0,"0010",0.0
0,"0011",0.0
0,"0100",0.0
0,"0101",0.0
0,"0110",0.0
0,"0111",0.0
0,"1000",0.0
0,"1001",0.0
0,"1010",0.0
0,"1011",0.0
0,"1100",0.0
0,"1101",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",8.999998851723872
10,"0001",3.1942367487238292
10,"0010",0.3010299956639812
10,"0011",0.0
10,"0100",2.9809119377768436
10,"0101",0.0
10,"0110",0.0
10,"0111",0.0
10,"1000",2.0863598306747484
10,"1001",0.0
10,"1010",0.0
10,"1011",0.0
10,"1100",0.0
10,"1101",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",8.999394486434248
20,"0001",6.034581535850346
20,"0010",0.47712125471966244
20,"0011",0.0
20,"0100",5.4875328808038635
20,"0101",0.0
20,"0110",0.0
20,"0111",0.0
20,"1000",3.492620722043192
20,"1001",0.0
20,"1010",0.0
20,"1011",0.0
20,"1100",0.0
20,"1101",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",8.732963899583893
30,"0001",8.608438108926514
30,"0010",0.3010299956639812
30,"0011",0.0
30,"0100",7.726985899773546
30,"0101",1.8388490907372552
30,"0110",0.0
30,"0111",0.0
30,"1000",4.612476564128437
30,"1001",1.0791812460476249
30,"1010",0.0
30,"1011",0.0
30,"1100",0.0
30,"1101",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",6.257805485485043
40,"0001",8.973564345460508
40,"0010",0.0
40,"0011",0.3010299956639812
40,"0100",7.757705406537642
40,"0101",1.8920946026904804
40,"0110",0.0
40,"0111",0.0
40,"1000",3.52283531366053
40,"1001",1.8129133566428555
40,"1010",0.0
40,"1011",0.0
40,"1100",0.0
40,"1101",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",3.4326486600131068
50,"0001",8.987935204728974
50,"0010",0.0
50,"0011",0.47712125471966244
50,"0100",7.437669513371653
50,"0101",1.6989700043360187
50,"0110",0.0
50,"0111",0.0
50,"1000",2.0827853703164503
50,"1001",2.100370545117563
50,"1010",0.0
50,"1011",0.0
50,"1100",0.0
50,"1101",0.0
