"Generation","Identity","Population"
0,"0000",6.0
0,"0001",0.0
0,"0100",0.0
0,"0101",0.0
0,"0111",0.0
0,"1001",0.0
0,"1100",0.0
0,"1101",0.0
0,"1110",0.0
0,"1111",0.0
10,"0000",5.999999565705301
10,"0001",0.0
10,"0100",0.0
10,"0101",0.0
10,"0111",0.0
10,"1001",0.0
10,"1100",0.0
10,"1101",0.0
10,"1110",0.0
10,"1111",0.0
20,"0000",5.999999565705301
20,"0001",0.0
20,"0100",0.0
20,"0101",0.0
20,"0111",0.0
20,"1001",0.0
20,"1100",0.0
20,"1101",0.0
20,"1110",0.0
20,"1111",0.0
30,"0000",5.999999565705301
30,"0001",0.0
30,"0100",0.0
30,"0101",0.0
30,"0111",0.0
30,"1001",0.0
30,"1100",0.0
30,"1101",0.0
30,"1110",0.0
30,"1111",0.0
40,"0000",5.999999565705301
40,"0001",0.0
40,"0100",0.0
40,"0101",0.0
40,"0111",0.0
40,"1001",0.0
40,"1100",0.0
40,"1101",0.0
40,"1110",0.0
40,"1111",0.0
50,"0000",5.999999131410168
50,"0001",0.3010299956639812
50,"0100",0.0
50,"0101",0.0
50,"0111",0.0
50,"1001",0.0
50,"1100",0.0
50,"1101",0.0
50,"1110",0.0
50,"1111",0.0
60,"0000",5.999999131410168
60,"0001",0.3010299956639812
60,"0100",0.0
60,"0101",0.0
60,"0111",0.0
60,"1001",0.0
60,"1100",0.0
60,"1101",0.0
60,"1110",0.0
60,"1111",0.0
70,"0000",5.9999986971145995
70,"0001",0.47712125471966244
70,"0100",0.0
70,"0101",0.0
70,"0111",0.0
70,"1001",0.0
70,"1100",0.0
70,"1101",0.0
70,"1110",0.0
70,"1111",0.0
80,"0000",5.999998262818598
80,"0001",0.6020599913279624
80,"0100",0.0
80,"0101",0.0
80,"0111",0.0
80,"1001",0.0
80,"1100",0.0
80,"1101",0.0
80,"1110",0.0
80,"1111",0.0
90,"0000",5.999997394225291
90,"0001",0.7781512503836436
90,"0100",0.0
90,"0101",0.0
90,"0111",0.0
90,"1001",0.0
90,"1100",0.0
90,"1101",0.0
90,"1110",0.0
90,"1111",0.0
100,"0000",5.999996959927986
100,"0001",0.8450980400142568
100,"0100",0.0
100,"0101",0.0
100,"0111",0.0
100,"1001",0.0
100,"1100",0.0
100,"1101",0.0
100,"1110",0.0
100,"1111",0.0
110,"0000",5.999996959927986
110,"0001",0.8450980400142568
110,"0100",0.0
110,"0101",0.0
110,"0111",0.0
110,"1001",0.0
110,"1100",0.0
110,"1101",0.0
110,"1110",0.0
110,"1111",0.0
120,"0000",5.999996959927986
120,"0001",0.8450980400142568
120,"0100",0.0
120,"0101",0.0
120,"0111",0.0
120,"1001",0.0
120,"1100",0.0
120,"1101",0.0
120,"1110",0.0
120,"1111",0.0
130,"0000",5.999996959927986
130,"0001",0.8450980400142568
130,"0100",0.0
130,"0101",0.0
130,"0111",0.0
130,"1001",0.0
130,"1100",0.0
130,"1101",0.0
130,"1110",0.0
130,"1111",0.0
140,"0000",5.999996525630247
140,"0001",0.9030899869919435
140,"0100",0.0
140,"0101",0.0
140,"0111",0.0
140,"1001",0.0
140,"1100",0.0
140,"1101",0.0
140,"1110",0.0
140,"1111",0.0
150,"0000",5.999995657033466
150,"0001",1.0
150,"0100",0.0
150,"0101",0.0
150,"0111",0.0
150,"1001",0.0
150,"1100",0.0
150,"1101",0.0
150,"1110",0.0
150,"1111",0.0
160,"0000",5.999995222734424
160,"0001",1.0413926851582251
160,"0100",0.0
160,"0101",0.0
160,"0111",0.0
160,"1001",0.0
160,"1100",0.0
160,"1101",0.0
160,"1110",0.0
160,"1111",0.0
170,"0000",5.999994354135037
170,"0001",1.1139433523068367
170,"0100",0.0
170,"0101",0.0
170,"0111",0.0
170,"1001",0.0
170,"1100",0.0
170,"1101",0.0
170,"1110",0.0
170,"1111",0.0
180,"0000",5.999993919834692
180,"0001",1.146128035678238
180,"0100",0.0
180,"0101",0.0
180,"0111",0.0
180,"1001",0.0
180,"1100",0.0
180,"1101",0.0
180,"1110",0.0
180,"1111",0.0
190,"0000",5.999992616931052
190,"0001",1.2304489213782739
190,"0100",0.0
190,"0101",0.0
190,"0111",0.0
190,"1001",0.0
190,"1100",0.0
190,"1101",0.0
190,"1110",0.0
190,"1111",0.0
200,"0000",5.9999921826289695
200,"0001",1.255272505103306
200,"0100",0.0
200,"0101",0.0
200,"0111",0.0
200,"1001",0.0
200,"1100",0.0
200,"1101",0.0
200,"1110",0.0
200,"1111",0.0
210,"0000",5.999990879720117
210,"0001",1.3222192947339193
210,"0100",0.0
210,"0101",0.0
210,"0111",0.0
210,"1001",0.0
210,"1100",0.0
210,"1101",0.0
210,"1110",0.0
210,"1111",0.0
220,"0000",5.999990011112043
220,"0001",1.3617278360175928
220,"0100",0.0
220,"0101",0.0
220,"0111",0.0
220,"1001",0.0
220,"1100",0.0
220,"1101",0.0
220,"1110",0.0
220,"1111",0.0
230,"0000",5.999990011112043
230,"0001",1.3617278360175928
230,"0100",0.0
230,"0101",0.0
230,"0111",0.0
230,"1001",0.0
230,"1100",0.0
230,"1101",0.0
230,"1110",0.0
230,"1111",0.0
240,"0000",5.999990011112043
240,"0001",1.3617278360175928
240,"0100",0.0
240,"0101",0.0
240,"0111",0.0
240,"1001",0.0
240,"1100",0.0
240,"1101",0.0
240,"1110",0.0
240,"1111",0.0
250,"0000",5.9999887081966765
250,"0001",1.414973347970818
250,"0100",0.0
250,"0101",0.0
250,"0111",0.0
250,"1001",0.0
250,"1100",0.0
250,"1101",0.0
250,"1110",0.0
250,"1111",0.0
260,"0000",5.999986536662378
260,"0001",1.4913616938342726
260,"0100",0.0
260,"0101",0.0
260,"0111",0.0
260,"1001",0.0
260,"1100",0.0
260,"1101",0.0
260,"1110",0.0
260,"1111",0.0
270,"0000",5.999986536662378
270,"0001",1.4913616938342726
270,"0100",0.0
270,"0101",0.0
270,"0111",0.0
270,"1001",0.0
270,"1100",0.0
270,"1101",0.0
270,"1110",0.0
270,"1111",0.0
280,"0000",5.9999856680456185
280,"0001",1.5185139398778875
280,"0100",0.0
280,"0101",0.0
280,"0111",0.0
280,"1001",0.0
280,"1100",0.0
280,"1101",0.0
280,"1110",0.0
280,"1111",0.0
290,"0000",5.999984799427121
290,"0001",1.5440680443502757
290,"0100",0.0
290,"0101",0.0
290,"0111",0.0
290,"1001",0.0
290,"1100",0.0
290,"1101",0.0
290,"1110",0.0
290,"1111",0.0
300,"0000",5.999984799427121
300,"0001",1.5440680443502757
300,"0100",0.0
300,"0101",0.0
300,"0111",0.0
300,"1001",0.0
300,"1100",0.0
300,"1101",0.0
300,"1110",0.0
300,"1111",0.0
310,"0000",5.999982193561207
310,"0001",1.6127838567197355
310,"0100",0.0
310,"0101",0.0
310,"0111",0.0
310,"1001",0.0
310,"1100",0.0
310,"1101",0.0
310,"1110",0.0
310,"1111",0.0
320,"0000",5.999980021994335
320,"0001",1.662757831681574
320,"0100",0.0
320,"0101",0.0
320,"0111",0.0
320,"1001",0.0
320,"1100",0.0
320,"1101",0.0
320,"1110",0.0
320,"1111",0.0
330,"0000",5.999976547464753
330,"0001",1.7323937598229686
330,"0100",0.0
330,"0101",0.0
330,"0111",0.0
330,"1001",0.0
330,"1100",0.0
330,"1101",0.0
330,"1110",0.0
330,"1111",0.0
340,"0000",5.9999748101895385
340,"0001",1.7634279935629373
340,"0100",0.0
340,"0101",0.0
340,"0111",0.0
340,"1001",0.0
340,"1100",0.0
340,"1101",0.0
340,"1110",0.0
340,"1111",0.0
350,"0000",5.999972638585747
350,"0001",1.7993405494535817
350,"0100",0.0
350,"0101",0.0
350,"0111",0.0
350,"1001",0.0
350,"1100",0.0
350,"1101",0.0
350,"1110",0.0
350,"1111",0.0
360,"0000",5.999968729671558
360,"0001",1.8573324964312685
360,"0100",0.0
360,"0101",0.0
360,"0111",0.0
360,"1001",0.0
360,"1100",0.0
360,"1101",0.0
360,"1110",0.0
360,"1111",0.0
370,"0000",5.999964820722186
370,"0001",1.9084850188786497
370,"0100",0.0
370,"0101",0.0
370,"0111",0.0
370,"1001",0.0
370,"1100",0.0
370,"1101",0.0
370,"1110",0.0
370,"1111",0.0
380,"0000",5.9999604774038415
380,"0001",1.9590413923210936
380,"0100",0.0
380,"0101",0.0
380,"0111",0.0
380,"1001",0.0
380,"1100",0.0
380,"1101",0.0
380,"1110",0.0
380,"1111",0.0
390,"0000",5.999956134042059
390,"0001",2.0043213737826426
390,"0100",0.0
390,"0101",0.0
390,"0111",0.0
390,"1001",0.0
390,"1100",0.0
390,"1101",0.0
390,"1110",0.0
390,"1111",0.0
400,"0000",5.99995179063684
400,"0001",2.0453229787866576
400,"0100",0.0
400,"0101",0.0
400,"0111",0.0
400,"1001",0.0
400,"1100",0.0
400,"1101",0.0
400,"1110",0.0
400,"1111",0.0
410,"0000",5.999946578493236
410,"0001",2.089905111439398
410,"0100",0.0
410,"0101",0.0
410,"0111",0.0
410,"1001",0.0
410,"1100",0.0
410,"1101",0.0
410,"1110",0.0
410,"1111",0.0
420,"0000",5.999940063225765
420,"0001",2.1398790864012365
420,"0100",0.0
420,"0101",0.0
420,"0111",0.0
420,"1001",0.0
420,"1100",0.0
420,"1101",0.0
420,"1110",0.0
420,"1111",0.0
430,"0000",5.999932679137803
430,"0001",2.1903316981702914
430,"0100",0.0
430,"0101",0.0
430,"0111",0.0
430,"1001",0.0
430,"1100",0.0
430,"1101",0.0
430,"1110",0.0
430,"1111",0.0
440,"0000",5.999924860554882
440,"0001",2.2380461031287955
440,"0100",0.0
440,"0101",0.0
440,"0111",0.0
440,"1001",0.0
440,"1100",0.0
440,"1101",0.0
440,"1110",0.0
440,"1111",0.0
450,"0000",5.999916173075434
450,"0001",2.285557309007774
450,"0100",0.0
450,"0101",0.0
450,"0111",0.0
450,"1001",0.0
450,"1100",0.0
450,"1101",0.0
450,"1110",0.0
450,"1111",0.0
460,"0000",5.999905747870701
460,"0001",2.3364597338485296
460,"0100",0.0
460,"0101",0.0
460,"0111",0.0
460,"1001",0.0
460,"1100",0.0
460,"1101",0.0
460,"1110",0.0
460,"1111",0.0
470,"0000",5.999894888016317
470,"0001",2.383815365980431
470,"0100",0.0
470,"0101",0.0
470,"0111",0.0
470,"1001",0.0
470,"1100",0.0
470,"1101",0.0
470,"1110",0.0
470,"1111",0.0
480,"0000",5.9998822902450115
480,"0001",2.432969290874406
480,"0100",0.0
480,"0101",0.0
480,"0111",0.0
480,"1001",0.0
480,"1100",0.0
480,"1101",0.0
480,"1110",0.0
480,"1111",0.0
490,"0000",5.999868388831884
490,"0001",2.481442628502305
490,"0100",0.0
490,"0101",0.0
490,"0111",0.0
490,"1001",0.0
490,"1100",0.0
490,"1101",0.0
490,"1110",0.0
490,"1111",0.0
500,"0000",5.9998523147682405
500,"0001",2.530199698203082
500,"0100",0.0
500,"0101",0.0
500,"0111",0.0
500,"1001",0.0
500,"1100",0.0
500,"1101",0.0
500,"1110",0.0
500,"1111",0.0
510,"0000",5.999769762906371
510,"0001",2.578639209968072
510,"0100",2.1789769472931693
510,"0101",0.0
510,"0111",0.0
510,"1001",0.0
510,"1100",0.0
510,"1101",0.0
510,"1110",0.0
510,"1111",0.0
520,"0000",5.99135944565974
520,"0001",2.615950051656401
520,"0100",4.285242162425415
520,"0101",0.0
520,"0111",0.0
520,"1001",0.0
520,"1100",0.0
520,"1101",0.0
520,"1110",0.0
520,"1111",0.0
530,"0000",5.448018013025431
530,"0001",2.1172712956557644
530,"0100",5.8569179092890336
530,"0101",0.0
530,"0111",0.0
530,"1001",0.0
530,"1100",0.0
530,"1101",0.0
530,"1110",0.0
530,"1111",0.0
540,"0000",3.474798818800631
540,"0001",0.3010299956639812
540,"0100",5.99862109977898
540,"0101",2.2648178230095364
540,"0111",0.0
540,"1001",0.0
540,"1100",0.0
540,"1101",0.0
540,"1110",0.0
540,"1111",0.0
550,"0000",1.3424226808222062
550,"0001",0.0
550,"0100",5.99072235661169
550,"0101",4.324591085760926
550,"0111",0.0
550,"1001",0.0
550,"1100",0.0
550,"1101",0.0
550,"1110",0.0
550,"1111",0.0
560,"0000",0.0
560,"0001",0.0
560,"0100",5.4536653311355865
560,"0101",5.85477591889108
560,"0111",0.0
560,"1001",0.0
560,"1100",0.0
560,"1101",0.0
560,"1110",0.0
560,"1111",0.0
570,"0000",0.0
570,"0001",0.0
570,"0100",3.530199698203082
570,"0101",5.998525676345912
570,"0111",0.0
570,"1001",0.0
570,"1100",0.0
570,"1101",0.0
570,"1110",0.0
570,"1111",0.0
580,"0000",0.0
580,"0001",0.0
580,"0100",1.462397997898956
580,"0101",5.9999874052774
580,"0111",0.0
580,"1001",0.0
580,"1100",0.0
580,"1101",0.0
580,"1110",0.0
580,"1111",0.0
590,"0000",0.0
590,"0001",0.0
590,"0100",0.0
590,"0101",6.0
590,"0111",0.0
590,"1001",0.0
590,"1100",0.0
590,"1101",0.0
590,"1110",0.0
590,"1111",0.0
600,"0000",0.0
600,"0001",0.0
600,"0100",0.0
600,"0101",6.0
600,"0111",0.0
600,"1001",0.0
600,"1100",0.0
600,"1101",0.0
600,"1110",0.0
600,"1111",0.0
610,"0000",0.0
610,"0001",0.0
610,"0100",0.0
610,"0101",6.0
610,"0111",0.0
610,"1001",0.0
610,"1100",0.0
610,"1101",0.0
610,"1110",0.0
610,"1111",0.0
620,"0000",0.0
620,"0001",0.0
620,"0100",0.0
620,"0101",6.0
620,"0111",0.0
620,"1001",0.0
620,"1100",0.0
620,"1101",0.0
620,"1110",0.0
620,"1111",0.0
630,"0000",0.0
630,"0001",0.0
630,"0100",0.0
630,"0101",6.0
630,"0111",0.0
630,"1001",0.0
630,"1100",0.0
630,"1101",0.0
630,"1110",0.0
630,"1111",0.0
640,"0000",0.0
640,"0001",0.0
640,"0100",0.0
640,"0101",6.0
640,"0111",0.0
640,"1001",0.0
640,"1100",0.0
640,"1101",0.0
640,"1110",0.0
640,"1111",0.0
650,"0000",0.0
650,"0001",0.0
650,"0100",0.0
650,"0101",6.0
650,"0111",0.0
650,"1001",0.0
650,"1100",0.0
650,"1101",0.0
650,"1110",0.0
650,"1111",0.0
660,"0000",0.0
660,"0001",0.0
660,"0100",0.0
660,"0101",6.0
660,"0111",0.0
660,"1001",0.0
660,"1100",0.0
660,"1101",0.0
660,"1110",0.0
660,"1111",0.0
670,"0000",0.0
670,"0001",0.0
670,"0100",0.0
670,"0101",6.0
670,"0111",0.0
670,"1001",0.0
670,"1100",0.0
670,"1101",0.0
670,"1110",0.0
670,"1111",0.0
680,"0000",0.0
680,"0001",0.0
680,"0100",0.0
680,"0101",6.0
680,"0111",0.0
680,"1001",0.0
680,"1100",0.0
680,"1101",0.0
680,"1110",0.0
680,"1111",0.0
690,"0000",0.0
690,"0001",0.0
690,"0100",0.0
690,"0101",6.0
690,"0111",0.0
690,"1001",0.0
690,"1100",0.0
690,"1101",0.0
690,"1110",0.0
690,"1111",0.0
700,"0000",0.0
700,"0001",0.0
700,"0100",0.0
700,"0101",6.0
700,"0111",0.0
700,"1001",0.0
700,"1100",0.0
700,"1101",0.0
700,"1110",0.0
700,"1111",0.0
710,"0000",0.0
710,"0001",0.0
710,"0100",0.0
710,"0101",6.0
710,"0111",0.0
710,"1001",0.0
710,"1100",0.0
710,"1101",0.0
710,"1110",0.0
710,"1111",0.0
720,"0000",0.0
720,"0001",0.0
720,"0100",0.0
720,"0101",6.0
720,"0111",0.0
720,"1001",0.0
720,"1100",0.0
720,"1101",0.0
720,"1110",0.0
720,"1111",0.0
730,"0000",0.0
730,"0001",0.0
730,"0100",0.0
730,"0101",6.0
730,"0111",0.0
730,"1001",0.0
730,"1100",0.0
730,"1101",0.0
730,"1110",0.0
730,"1111",0.0
740,"0000",0.0
740,"0001",0.0
740,"0100",0.0
740,"0101",6.0
740,"0111",0.0
740,"1001",0.0
740,"1100",0.0
740,"1101",0.0
740,"1110",0.0
740,"1111",0.0
750,"0000",0.0
750,"0001",0.0
750,"0100",0.0
750,"0101",6.0
750,"0111",0.0
750,"1001",0.0
750,"1100",0.0
750,"1101",0.0
750,"1110",0.0
750,"1111",0.0
760,"0000",0.0
760,"0001",0.0
760,"0100",0.0
760,"0101",6.0
760,"0111",0.0
760,"1001",0.0
760,"1100",0.0
760,"1101",0.0
760,"1110",0.0
760,"1111",0.0
770,"0000",0.0
770,"0001",0.0
770,"0100",0.0
770,"0101",6.0
770,"0111",0.0
770,"1001",0.0
770,"1100",0.0
770,"1101",0.0
770,"1110",0.0
770,"1111",0.0
780,"0000",0.0
780,"0001",0.0
780,"0100",0.0
780,"0101",6.0
780,"0111",0.0
780,"1001",0.0
780,"1100",0.0
780,"1101",0.0
780,"1110",0.0
780,"1111",0.0
790,"0000",0.0
790,"0001",0.0
790,"0100",0.0
790,"0101",6.0
790,"0111",0.0
790,"1001",0.0
790,"1100",0.0
790,"1101",0.0
790,"1110",0.0
790,"1111",0.0
800,"0000",0.0
800,"0001",0.0
800,"0100",0.0
800,"0101",5.9999986971145995
800,"0111",0.0
800,"1001",0.0
800,"1100",0.0
800,"1101",0.6020599913279624
800,"1110",0.0
800,"1111",0.0
810,"0000",0.0
810,"0001",0.0
810,"0100",0.0
810,"0101",5.999997828522162
810,"0111",0.0
810,"1001",0.0
810,"1100",0.0
810,"1101",0.6020599913279624
810,"1110",0.0
810,"1111",0.0
820,"0000",0.0
820,"0001",0.0
820,"0100",0.0
820,"0101",5.999994354135037
820,"0111",0.0
820,"1001",0.0
820,"1100",0.0
820,"1101",1.1139433523068367
820,"1110",0.0
820,"1111",0.0
830,"0000",0.0
830,"0001",0.0
830,"0100",0.0
830,"0101",5.999982193561207
830,"0111",0.0
830,"1001",0.0
830,"1100",0.0
830,"1101",1.6127838567197355
830,"1110",0.0
830,"1111",0.0
840,"0000",0.0
840,"0001",0.0
840,"0100",0.0
840,"0101",5.999943538047246
840,"0111",0.0
840,"1001",0.0
840,"1100",0.0
840,"1101",2.113943352306837
840,"1110",0.0
840,"1111",0.0
850,"0000",0.0
850,"0001",0.0
850,"0100",0.0
850,"0101",5.999824509577858
850,"0111",0.0
850,"1001",0.0
850,"1100",0.0
850,"1101",2.6074550232146687
850,"1110",0.0
850,"1111",0.0
860,"0000",0.0
860,"0001",0.0
860,"0100",0.0
860,"0101",5.999449834857847
860,"0111",0.0
860,"1001",0.0
860,"1100",0.0
860,"1101",3.1027766148834415
860,"1110",0.0
860,"1111",0.0
870,"0000",0.0
870,"0001",0.0
870,"0100",0.0
870,"0101",5.998282447856576
870,"0111",0.0
870,"1001",0.0
870,"1100",0.0
870,"1101",3.5962671263955155
870,"1110",0.0
870,"1111",0.0
880,"0000",0.0
880,"0001",0.0
880,"0100",0.0
880,"0101",5.994652314488261
880,"0111",0.0
880,"1001",0.0
880,"1100",0.0
880,"1101",4.08771044886063
880,"1110",0.0
880,"1111",0.0
890,"0000",0.0
890,"0001",0.0
890,"0100",0.0
890,"0101",5.98349593412119
890,"0111",0.0
890,"1001",0.0
890,"1100",0.0
890,"1101",4.571580736799087
890,"1110",0.0
890,"1111",0.0
900,"0000",0.0
900,"0001",0.0
900,"0100",0.0
900,"0101",5.950351221599942
900,"0111",0.0
900,"1001",0.0
900,"1100",0.0
900,"1101",5.0335363357595195
900,"1110",0.0
900,"1111",0.0
910,"0000",0.0
910,"0001",0.0
910,"0100",0.0
910,"0101",5.860535041708534
910,"0111",0.0
910,"1001",0.0
910,"1100",0.0
910,"1101",5.438811227509573
910,"1110",0.0
910,"1111",0.0
920,"0000",0.0
920,"0001",0.0
920,"0100",0.0
920,"0101",5.660737446568054
